,mathematics,political_theory,ethics,metaphysics,categories,on_non_contradiction,logic,biology,psychology,causality,rhetoric
mathematics,0.30480672085941496,0.25987877938196174,0.24273414516306305,0.2746164602095736,0.2888750675528691,0.284874420623455,0.2538223506993756,0.19414189567137574,0.26306418222119915,0.28859562816955286,0.2507733910494789
political_theory,0.25987877938196174,0.5263151477224061,0.3563773131752061,0.3278914480763859,0.36153871761952666,0.33218873252262515,0.2735270343787667,0.22758774542105462,0.2985640142107427,0.36708681427258905,0.3434440572529175
ethics,0.24273414516306305,0.3563773131752061,0.41131306674281676,0.30600390982569403,0.34239617298188907,0.3242171824893296,0.26029239203458887,0.2293808736333237,0.3210570390011326,0.35035900085800964,0.3172845395430957
metaphysics,0.2746164602095736,0.3278914480763859,0.30600390982569403,0.3949436701182009,0.3769648125116089,0.3279023988252171,0.2862361189317543,0.26524713730234084,0.3519243737869796,0.3645157940865924,0.3183110358653262
categories,0.2888750675528691,0.36153871761952666,0.34239617298188907,0.3769648125116089,0.4555480162204175,0.3591568254889573,0.3182351377052367,0.2732630493253849,0.35642762906778147,0.38231293715625747,0.35139464075561666
on_non_contradiction,0.284874420623455,0.33218873252262515,0.3242171824893296,0.3279023988252171,0.3591568254889573,0.42859121296261715,0.31856384924251735,0.2372350995620556,0.32705043983567395,0.360290581747349,0.3446007562530784
logic,0.2538223506993756,0.2735270343787667,0.26029239203458887,0.2862361189317543,0.3182351377052367,0.31856384924251735,0.29968582264251536,0.20802783304009007,0.2688173009619614,0.29990458419418026,0.3037476211322015
biology,0.19414189567137574,0.22758774542105462,0.2293808736333237,0.26524713730234084,0.2732630493253849,0.2372350995620556,0.20802783304009007,0.33474518242720147,0.2818355994122415,0.2905371145693943,0.24660210233307397
psychology,0.26306418222119915,0.2985640142107427,0.3210570390011326,0.3519243737869796,0.35642762906778147,0.32705043983567395,0.2688173009619614,0.2818355994122415,0.4550483753870746,0.37177344522139205,0.3079585993870843
causality,0.28859562816955286,0.36708681427258905,0.35035900085800964,0.3645157940865924,0.38231293715625747,0.360290581747349,0.29990458419418026,0.2905371145693943,0.37177344522139205,0.48902942766474206,0.3361672606833022
rhetoric,0.2507733910494789,0.3434440572529175,0.3172845395430957,0.3183110358653262,0.35139464075561666,0.3446007562530784,0.3037476211322015,0.24660210233307397,0.3079585993870843,0.3361672606833022,0.4691139802843727
